Date,Open,High,Low,Close,Adj Close,Volume
2018-03-23,168.389999,169.919998,164.940002,164.940002,164.306427,41028800
2018-03-26,168.070007,173.100006,166.440002,172.770004,172.106354,37541200
2018-03-27,173.679993,175.149994,166.919998,168.339996,167.693359,40922600
2018-03-28,167.250000,170.020004,165.190002,166.479996,165.840500,41668500
2018-03-29,167.809998,171.750000,166.899994,167.779999,167.135513,38398500
2018-04-02,166.639999,168.940002,164.470001,166.679993,166.039734,37586800
2018-04-03,167.639999,168.750000,164.880005,168.389999,167.743164,30278000
2018-04-04,164.880005,172.009995,164.770004,171.610001,170.950806,34605500
2018-04-05,172.580002,174.229996,172.080002,172.800003,172.136230,26933200
2018-04-06,170.970001,172.479996,168.199997,168.380005,167.733215,35005300
2018-04-09,169.880005,173.089996,169.850006,170.050003,169.396790,29017700
2018-04-10,173.000000,174.000000,171.529999,173.250000,172.584503,28408600
2018-04-11,172.229996,173.919998,171.699997,172.440002,171.777618,22431600
2018-04-12,173.410004,175.000000,173.039993,174.139999,173.471085,22889300
2018-04-13,174.779999,175.839996,173.850006,174.729996,174.058807,25124300
2018-04-16,175.029999,176.190002,174.830002,175.820007,175.144638,21578400
2018-04-17,176.490005,178.940002,176.410004,178.240005,177.555328,26605400
2018-04-18,177.809998,178.820007,176.880005,177.839996,177.156860,20754500
2018-04-19,173.759995,175.389999,172.660004,172.800003,172.136230,34808800
2018-04-20,170.600006,171.220001,165.429993,165.720001,165.083420,65491100
2018-04-23,166.830002,166.919998,164.089996,165.240005,164.605270,36515500
2018-04-24,165.669998,166.330002,161.220001,162.940002,162.314102,33692000
2018-04-25,162.619995,165.419998,162.410004,163.649994,163.021362,28382100
2018-04-26,164.119995,165.729996,163.369995,164.220001,163.589188,27963000
2018-04-27,164.000000,164.330002,160.630005,162.320007,161.696487,35655800
2018-04-30,162.130005,167.259995,161.839996,165.259995,164.625183,42427400
2018-05-01,166.410004,169.199997,165.270004,169.100006,168.450439,53569400
2018-05-02,175.229996,177.750000,173.800003,176.570007,175.891754,66539400
2018-05-03,175.880005,177.500000,174.440002,176.889999,176.210510,34068200
2018-05-04,178.250000,184.250000,178.169998,183.830002,183.123856,56201300
2018-05-07,185.179993,187.669998,184.750000,185.160004,184.448746,42451400
2018-05-08,184.990005,186.220001,183.669998,186.050003,185.335327,28402800
2018-05-09,186.550003,187.399994,185.220001,187.360001,186.640305,23211200
2018-05-10,187.740005,190.369995,187.649994,190.039993,189.309998,27989300
2018-05-11,189.490005,190.059998,187.449997,188.589996,188.589996,26212200
2018-05-14,189.009995,189.529999,187.860001,188.149994,188.149994,20778800
2018-05-15,186.779999,187.070007,185.100006,186.440002,186.440002,23695200
2018-05-16,186.070007,188.460007,186.000000,188.179993,188.179993,19183100
2018-05-17,188.000000,188.910004,186.360001,186.990005,186.990005,17294000
2018-05-18,187.190002,187.809998,186.130005,186.309998,186.309998,18297700
2018-05-21,188.000000,189.270004,186.910004,187.630005,187.630005,18400800
2018-05-22,188.380005,188.880005,186.779999,187.160004,187.160004,15240700
2018-05-23,186.350006,188.500000,185.759995,188.360001,188.360001,19467900
2018-05-24,188.770004,188.839996,186.210007,188.149994,188.149994,20401000
2018-05-25,188.229996,189.649994,187.649994,188.580002,188.580002,17461000
2018-05-29,187.600006,188.750000,186.869995,187.899994,187.899994,22369000
2018-05-30,187.720001,188.000000,186.779999,187.500000,187.500000,18690500
2018-05-31,187.220001,188.229996,186.139999,186.869995,186.869995,27482800
2018-06-01,187.990005,190.259995,187.750000,190.240005,190.240005,23250400
2018-06-04,191.639999,193.419998,191.350006,191.830002,191.830002,26132000
2018-06-05,193.070007,193.940002,192.360001,193.309998,193.309998,21566000
2018-06-06,193.630005,194.080002,191.919998,193.979996,193.979996,20933600
2018-06-07,194.139999,194.199997,192.339996,193.460007,193.460007,21347200
2018-06-08,191.169998,192.000000,189.770004,191.699997,191.699997,26656800
2018-06-11,191.350006,191.970001,190.210007,191.229996,191.229996,18308500
2018-06-12,191.389999,192.610001,191.149994,192.279999,192.279999,16911100
2018-06-13,192.419998,192.880005,190.440002,190.699997,190.699997,21431900
